Quake Number,Location,Magnitude,Time
1,"M 4.4 - 38km NE of Tyup, Kyrgyzstan",4.4,2019-10-08 15:49:22
2,"M 4.5 - 7km SSE of Shiroi, Japan",4.5,2019-10-08 13:58:30
3,"M 4.6 - 79km SE of Petropavlovsk-Kamchatskiy, Russia",4.6,2019-10-08 12:58:35
4,"M 4.6 - 59km NNW of Dededo Village, Guam",4.6,2019-10-08 08:25:50
5,"M 4.2 - 72km WNW of Copiapo, Chile",4.2,2019-10-08 08:04:09
6,"M 5.0 - 50km WNW of Kirakira, Solomon Islands",5,2019-10-08 06:45:37
7,"M 4.3 - 64km SSW of Karakul, Tajikistan",4.3,2019-10-08 04:48:29
8,"M 4.9 - 19km NE of Putre, Chile",4.9,2019-10-08 00:18:04
9,M 4.9 - South Shetland Islands,4.9,2019-10-07 23:09:08
10,"M 4.3 - 151km ESE of Terney, Russia",4.3,2019-10-07 22:46:09
11,M 4.6 - Reykjanes Ridge,4.6,2019-10-07 22:43:51
12,"M 4.4 - 23km NNW of Bengkulu, Indonesia",4.4,2019-10-07 16:50:40
13,"M 4.5 - 10km NW of Culaman, Philippines",4.5,2019-10-07 16:37:22
14,"M 4.5 - 61km NNE of Meulaboh, Indonesia",4.5,2019-10-07 15:11:38
15,"M 5.1 - 198km WSW of Kuripan, Indonesia",5.1,2019-10-07 14:09:31
16,"M 4.6 - 83km N of Sikabaluan, Indonesia",4.6,2019-10-07 12:37:59
17,M 4.6 - Prince Edward Islands region,4.6,2019-10-07 09:20:43
18,M 4.8 - Western Indian-Antarctic Ridge,4.8,2019-10-07 08:22:12
19,"M 4.7 - 17km NNE of Mongar, Bhutan",4.7,2019-10-07 06:35:46
20,"M 4.9 - 27km S of Pagan, Northern Mariana Islands",4.9,2019-10-07 03:03:54
21,"M 4.6 - 3km WNW of Marcellinara, Italy",4.6,2019-10-07 00:11:33
22,"M 4.8 - 94km W of El Aguilar, Argentina",4.8,2019-10-06 22:50:46
23,"M 4.2 - 10km S of Genova, Guatemala",4.2,2019-10-06 22:39:33
24,"M 4.7 - 53km SSE of Isangel, Vanuatu",4.7,2019-10-06 21:46:47
25,"M 4.9 - 20km S of Opotiki, New Zealand",4.9,2019-10-06 21:29:47
26,"M 4.6 - 131km N of Road Town, British Virgin Islands",4.6,2019-10-06 19:02:14
27,"M 5.3 - 84km S of Bristol Island, South Sandwich Islands",5.3,2019-10-06 18:16:58
28,"M 4.6 - 21km SE of Yanai, Japan",4.6,2019-10-06 17:02:31
29,"M 4.7 - 12km NNE of Farallon de Pajaros, Northern Mariana Islands",4.7,2019-10-06 15:21:00
30,"M 4.9 - 146km W of Merizo Village, Guam",4.9,2019-10-06 11:40:46
31,"M 5.0 - 19km SE of Bristol Island, South Sandwich Islands",5,2019-10-06 11:13:40
32,"M 4.3 - 106km SW of Tocopilla, Chile",4.3,2019-10-06 10:19:16
33,"M 4.0 - 61km SSW of Calama, Chile",4,2019-10-06 09:51:13
34,"M 4.6 - 81km WNW of Kota Ternate, Indonesia",4.6,2019-10-06 09:50:34
35,"M 5.0 - 113km N of Road Town, British Virgin Islands",4.96,2019-10-06 09:10:44
36,"M 4.3 - 131km S of Tecoanapa, Mexico",4.3,2019-10-06 07:37:15
37,"M 4.3 - 238km NNW of Saumlaki, Indonesia",4.3,2019-10-06 06:45:05
38,"M 4.4 - 100km WSW of Langsa, Indonesia",4.4,2019-10-06 04:41:17
39,"M 5.9 - 73km NNE of Calama, Chile",5.9,2019-10-06 04:40:55
40,"M 4.3 - 51km ESE of Waitara, New Zealand",4.3,2019-10-06 04:00:36
41,"M 4.6 - 91km E of Namie, Japan",4.6,2019-10-06 00:03:15
42,"M 4.1 - 60km W of Sardinal, Costa Rica",4.1,2019-10-05 18:26:04
43,"M 4.9 - 141km WSW of Naze, Japan",4.9,2019-10-05 14:32:24
44,"M 4.9 - 134km WSW of Naze, Japan",4.9,2019-10-05 14:18:19
45,"M 4.2 - 46km W of La Ligua, Chile",4.2,2019-10-05 12:57:58
46,"M 4.6 - 86km SSE of Pondaguitan, Philippines",4.6,2019-10-05 11:11:08
47,M 5.0 - Reykjanes Ridge,5,2019-10-05 11:01:40
48,"M 4.9 - 23km NW of San Marcos, Mexico",4.9,2019-10-05 10:20:11
