series,number
0,405
1,610
2,553
3,87
4,844
5,701
6,493
7,319
8,310
9,175
10,42
11,4
12,295
13,184
14,473
15,703
16,278
17,379
18,924
19,371
20,618
21,910
22,770
23,6
24,520
25,267
26,186
27,401
28,194
29,307
30,549
31,79
32,885
33,888
34,872
35,613
36,147
37,459
38,561
39,809
40,576
41,202
42,874
43,706
44,134
45,161
46,443
47,612
48,521
49,709
50,804
51,240
52,566
53,435
54,989
55,701
56,625
57,60
58,20
59,630
60,680
61,504
62,999
63,501
64,822
65,982
66,404
67,54
68,241
69,474
70,738
71,507
72,840
73,910
74,435
75,735
76,539
77,366
78,839
79,440
80,255
81,433
82,70
83,861
84,164
85,54
86,464
87,990
88,365
89,120
90,488
91,480
92,781
93,385
94,543
95,444
96,524
97,269
98,686
99,37
